geneSymbol	chromosome
NALCN	chr13
FGF14	chr13
MIR2681	chr13
MIR4705	chr13
FGF14-IT1	chr13
METTL21C	chr13
AX747578	chr13
CCDC168	chr13
TEX30	chr13
KDELC1	chr13
SLC10A2	chr13
MIR548AS	chr13
DAOA-AS1	chr13
EFNB2	chr13
ARGLU1	chr13
FAM155A	chr13
BC043519	chr13
LIG4	chr13
MYO16-AS1	chr13
IRS2	chr13
COL4A1	chr13
COL4A2-AS1	chr13
RAB20	chr13
CARS2	chr13
DJ031140	chr13
LINC00346	chr13
ANKRD10	chr13
DKFZp686B07190	chr13
AK124233	chr13
TUBGCP3	chr13
BC041346	chr13
AX748036	chr13
MCF2L-AS1	chr13
PCID2	chr13
GRTP1	chr13
ADPRHL1	chr13
DCUN1D2	chr13
ATP4B	chr13
LINC00552	chr13
GAS6	chr13
LINC00565	chr13
RASA3	chr13
OR11H12	chr14
POTEG	chr14
DQ595091	chr14
DQ590589	chr14
DQ591735	chr14
DQ599717	chr14
DQ582260	chr14
P775P	chr14
AK022914	chr14
BX248778	chr14
BC016035	chr14
DQ786293	chr14
LINC00516	chr14
P712P	chr14
OR4Q3	chr14
OR4M1	chr14
OR4N2	chr14
OR4K2	chr14
OR4K5	chr14
OR4K1	chr14
OR4K15	chr14
OR4L1	chr14
OR4K17	chr14
OR4N5	chr14
OR11G2	chr14
OR11H6	chr14
OR11H4	chr14
PARP2	chr14
APEX1	chr14
PNP	chr14
RNASE10	chr14
AX747992	chr14
RNASE4	chr14
ANG	chr14
EDDM3A	chr14
EDDM3B	chr14
RNASE6	chr14
RNASE3	chr14
RNASE2	chr14
ECRP	chr14
METTL17	chr14
SLC39A2	chr14
TPPP2	chr14
RNASE7	chr14
RNASE8	chr14
ARHGEF40	chr14
TMEM253	chr14
RPGRIP1	chr14
TOX4	chr14
D21847	chr14
TRA@	chr14
OR4E2	chr14
TRA	chr14
TCRA	chr14
TRAC	chr14
TRD	chr14
hADV36S1	chr14
hADV38S2	chr14
hADV14S1	chr14
hADV29S1	chr14
T-Cell Receptor V-alpha region	chr14
hDV102S1	chr14
AV4S1	chr14
TCR-alpha	chr14
AV8S2A1N1T	chr14
AV25S1	chr14
X61074	chr14
TCRVA13	chr14
HTJA150	chr14
TRAV1-2J6	chr14
X74394	chr14
TRAV3J15	chr14
AV1S4A1N1T	chr14
V alpha 1	chr14
HTJA84	chr14
X58749	chr14
TCR	chr14
TCRVA15	chr14
TCRAV5.1a	chr14
V alpha 18/J alpha F/C alpha	chr14
TRAV12-1	chr14
AV2S1A1	chr14
AF532840	chr14
AV8S2	chr14
TRAV20	chr14
AV30S1	chr14
TCRAVN1	chr14
U39094	chr14
V alpha immunoglobulin	chr14
T-cell receptor alpha chain variable ...	chr14
av27s1	chr14
TCR- alpha V 33.1	chr14
TRDC	chr14
TCRDV2	chr14
TCRDV2J2	chr14
ADV21S1A1N	chr14
ABHD4	chr14
OXA1L	chr14
MRPL52	chr14
MMP14	chr14
LRP10	chr14
REM2	chr14
PSMB11	chr14
C14orf119	chr14
BCL2L2-PABPN1	chr14
PABPN1	chr14
BCL2L2	chr14
IL25	chr14
CMTM5	chr14
NGDN	chr14
THTPA	chr14
AX747770	chr14
DHRS2	chr14
DHRS4L1	chr14
DHRS4L2	chr14
DHRS4	chr14
LRRC16B	chr14
CPNE6	chr14
PCK2	chr14
DCAF11	chr14
FITM1	chr14
PSME1	chr14
AK307150	chr14
RNF31	chr14
IRF9	chr14
REC8	chr14
TSSK4	chr14
GMPR2	chr14
HP08474	chr14
NOP9	chr14
LTB4R	chr14
LTB4R2	chr14
NFATC4	chr14
NYNRIN	chr14
KHNYN	chr14
AK056368	chr14
MIR4307	chr14
LINC00645	chr14
DD413682	chr14
FOXG1	chr14
C14orf23	chr14
G2E3	chr14
SCFD1	chr14
COCH	chr14
AP4S1	chr14
BC041327	chr14
NUBPL	chr14
ARHGAP5	chr14
AKAP6	chr14
JA429831	chr14
BC039319	chr14
NPAS3	chr14
IGBP1P1	chr14
SRP54	chr14
FAM177A1	chr14
AK128559	chr14
KIAA0391	chr14
PSMA6	chr14
INSM2	chr14
BRMS1L	chr14
LINC00609	chr14
DPPA3	chr14
BX161496	chr14
PAX9	chr14
SLC25A21-AS1	chr14
MIPOL1	chr14
C14orf25	chr14
TTC6	chr14
SSTR1	chr14
GEMIN2	chr14
PNN	chr14
MIA2	chr14
CTAGE5	chr14
BX248273	chr14
LRFN5	chr14
C14orf28	chr14
FAM179B	chr14
PRPF39	chr14
SNORD127	chr14
FANCM	chr14
LINC00871	chr14
LRR1	chr14
MGAT2	chr14
KLHDC1	chr14
KLHDC2	chr14
ARF6	chr14
ATP5S	chr14
ATL1	chr14
ABHD12B	chr14
TMX1	chr14
LINC00640	chr14
FRMD6	chr14
GNG2	chr14
C14orf166	chr14
PTGDR	chr14
PTGER2	chr14
GPR137C	chr14
PSMC6	chr14
STYX	chr14
CDKN3	chr14
CGRRF1	chr14
SAMD4A	chr14
SOCS4	chr14
MAPK1IP1L	chr14
LGALS3	chr14
FBXO34	chr14
KTN1	chr14
RPL13AP3	chr14
PELI2	chr14
BC037850	chr14
TMEM260	chr14
OTX2-AS1	chr14
AP5M1	chr14
NAA30	chr14
ACTR10	chr14
PSMA3	chr14
ARID4A	chr14
TOMM20L	chr14
KIAA0586	chr14
DACT1	chr14
DAAM1	chr14
JKAMP	chr14
BC047625	chr14
LRRC9	chr14
PCNXL4	chr14
PPM1A	chr14
JB175233	chr14
SIX6	chr14
MNAT1	chr14
SLC38A6	chr14
PRKCH	chr14
FLJ22447	chr14
HIF1A	chr14
SNAPC1	chr14
SYT16	chr14
LINC00643	chr14
RHOJ	chr14
JA429503	chr14
SYNE2	chr14
MTHFD1	chr14
AKAP5	chr14
ZBTB1	chr14
AK055910	chr14
HSPA2	chr14
PPP1R36	chr14
PLEKHG3	chr14
CHURC1-FNTB	chr14
FNTB	chr14
CHURC1	chr14
BC052775	chr14
MIR4706	chr14
LOC100506321	chr14
FUT8	chr14
LINC00238	chr14
GPHN	chr14
FAM71D	chr14
MPP5	chr14
EIF2S1	chr14
PLEKHH1	chr14
ARG2	chr14
RDH12	chr14
RAD51B	chr14
ACTN1-AS1	chr14
EXD2	chr14
GALNT16	chr14
SLC39A9	chr14
BC062762	chr14
PLEKHD1	chr14
KIAA0247	chr14
SRSF5	chr14
SMOC1	chr14
ADAM21	chr14
TTC9	chr14
PCNX	chr14
SNORD56B	chr14
SIPA1L1	chr14
DKFZp686G1344	chr14
LOC145474	chr14
RGS6	chr14
DCAF4	chr14
RBM25	chr14
PSEN1	chr14
PAPLN	chr14
AK055876	chr14
C14orf169	chr14
ACOT2	chr14
ACOT1	chr14
ACOT4	chr14
ACOT6	chr14
DNAL1	chr14
MIR4505	chr14
ZNF410	chr14
PTGR2	chr14
COQ6	chr14
CCDC176	chr14
LIN52	chr14
VSX2	chr14
VRTN	chr14
ISCA2	chr14
FCF1	chr14
YLPM1	chr14
AK096592	chr14
DLST	chr14
EIF2B2	chr14
ZC2HC1C	chr14
FOS	chr14
LOC731223	chr14
JDP2	chr14
BATF	chr14
FLVCR2	chr14
TTLL5	chr14
IFT43	chr14
GPATCH2L	chr14
AK055384	chr14
AK025117	chr14
ESRRB	chr14
VASH1	chr14
C14orf166B	chr14
KIAA1737	chr14
TMEM63C	chr14
MIR1260A	chr14
GSTZ1	chr14
BC069047	chr14
SAMD15	chr14
AHSA1	chr14
SLIRP	chr14
C14orf178	chr14
ADCK1	chr14
NRXN3	chr14
DIO2-AS1	chr14
TSHR	chr14
BC040628	chr14
LINC00911	chr14
FLRT2	chr14
LOC283585	chr14
GPR65	chr14
LOC283587	chr14
DQ579618	chr14
DQ588689	chr14
DQ587983	chr14
DQ574857	chr14
DQ577549	chr14
DQ597164	chr14
DQ576490	chr14
DQ599616	chr14
SPATA7	chr14
ZC3H14	chr14
TTC8	chr14
FOXN3-AS1	chr14
FOXN3-AS2	chr14
TDP1	chr14
KCNK13	chr14
PSMC1	chr14
CALM1	chr14
LINC00642	chr14
BC028746	chr14
BC039357	chr14
C14orf159	chr14
SNORA11B	chr14
JB175279	chr14
CPSF2	chr14
SLC24A4	chr14
RIN3	chr14
GOLGA5	chr14
AK093301	chr14
CHGA	chr14
ITPK1-AS1	chr14
TMEM251	chr14
UBR7	chr14
UNC79	chr14
COX8C	chr14
FAM181A	chr14
LINC00521	chr14
OTUB2	chr14
IFI27L1	chr14
IFI27	chr14
PPP4R4	chr14
SERPINA4	chr14
SERPINA5	chr14
SERPINA3	chr14
SERPINA13P	chr14
DICER1-AS1	chr14
AK127179	chr14
GLRX5	chr14
BC038791	chr14
TCL6	chr14
TCL1B	chr14
BX247990	chr14
LINC00617	chr14
C14orf132	chr14
BDKRB2	chr14
BDKRB1	chr14
GSKIP	chr14
AK7	chr14
PAPOLA	chr14
BC035096	chr14
VRK1	chr14
BC038465	chr14
JX073282	chr14
C14orf177	chr14
CCNK	chr14
HHIPL1	chr14
MIR5698	chr14
CYP46A1	chr14
EML1	chr14
EVL	chr14
AX747103	chr14
YY1	chr14
BC014138	chr14
MIR345	chr14
SLC25A47	chr14
WDR25	chr14
LINC00523	chr14
DLK1	chr14
MIR2392	chr14
MEG3	chr14
MIR770	chr14
AK123878	chr14
MIR493	chr14
MIR337	chr14
MIR665	chr14
MIR431	chr14
MIR433	chr14
MIR127	chr14
MIR432	chr14
MIR136	chr14
MEG8	chr14
SNORD113-1	chr14
SNORD113-2	chr14
SNORD113-4	chr14
SNORD113-5	chr14
SNORD113-6	chr14
SNORD113-7	chr14
SNORD113-9	chr14
SNORD114-1	chr14
SNORD114-2	chr14
SNORD114-3	chr14
SNORD114-4	chr14
SNORD114-5	chr14
SNORD114-6	chr14
SNORD114-7	chr14
SNORD114-8	chr14
SNORD114-9	chr14
SNORD114-10	chr14
SNORD114-11	chr14
SNORD114-12	chr14
SNORD114-13	chr14
SNORD114-14	chr14
SNORD114-15	chr14
SNORD114-16	chr14
SNORD114-17	chr14
SNORD114-18	chr14
SNORD114-19	chr14
SNORD114-20	chr14
SNORD114-21	chr14
SNORD114-22	chr14
SNORD114-23	chr14
SNORD114-24	chr14
SNORD114-25	chr14
SNORD114-26	chr14
SNORD114-27	chr14
SNORD114-28	chr14
SNORD114-29	chr14
SNORD114-30	chr14
SNORD114-31	chr14
MIR379	chr14
MIR411	chr14
MIR299	chr14
MIR380	chr14
MIR1197	chr14
MIR323A	chr14
MIR758	chr14
MIR329-1	chr14
MIR329-2	chr14
MIR494	chr14
MIR1193	chr14
MIR543	chr14
MIR495	chr14
MIR376C	chr14
MIR376A2	chr14
MIR654	chr14
MIR376B	chr14
MIR376A1	chr14
MIR300	chr14
MIR1185-1	chr14
MIR1185-2	chr14
MIR381	chr14
MIR487B	chr14
MIR539	chr14
MIR889	chr14
MIR655	chr14
MIR487A	chr14
MIR382	chr14
MIR134	chr14
MIR668	chr14
MIR485	chr14
MIR323B	chr14
MIR154	chr14
MIR496	chr14
MIR377	chr14
MIR541	chr14
MIR409	chr14
MIR412	chr14
MIR369	chr14
MIR410	chr14
MIR656	chr14
MEG9	chr14
BC148240	chr14
DIO3	chr14
LINC00239	chr14
PPP2R5C	chr14
BC062337	chr14
AK311282	chr14
DYNC1H1	chr14
WDR20	chr14
AK130824	chr14
ZNF839	chr14
TECPR2	chr14
MIR4309	chr14
RCOR1	chr14
TRAF3	chr14
AX746522	chr14
AMN	chr14
EXOC3L4	chr14
TNFAIP2	chr14
BC017818	chr14
JB175177	chr14
EIF5	chr14
SNORA28	chr14
MARK3	chr14
TRMT61A	chr14
KLC1	chr14
APOPT1	chr14
AK097119	chr14
ZFYVE21	chr14
LINC00637	chr14
TDRD9	chr14
ASPG	chr14
MIR203	chr14
KIF26A	chr14
C14orf180	chr14
INF2	chr14
CEP170B	chr14
ADSSL1	chr14
SIVA1	chr14
AF401214	chr14
ZBTB42	chr14
LINC00638	chr14
PLD4	chr14
C14orf79	chr14
BTBD6	chr14
PACS2	chr14
TEX22	chr14
MTA1	chr14
CRIP2	chr14
HV555659	chr14
CRIP1	chr14
C14orf80	chr14
TMEM121	chr14
BC033241	chr14
KIAA0125	chr14
LINC00226	chr14
LINC00221	chr14
LOC642426	chr14
DQ595048	chr14
LOC101101776	chr14
BC041856	chr14
AK056135	chr14
BC017398	chr14
DQ573684	chr14
DQ582484	chr14
POTEM	chr14
OR11H2	chr14
OR4K14	chr14
OR4K13	chr14
TTC5	chr14
CCNB1IP1	chr14
SNORD126	chr14
RPPH1	chr14
TEP1	chr14
KLHL33	chr14
OSGEP	chr14
TMEM55B	chr14
RNASE9	chr14
RNASE11	chr14
RNASE12	chr14
OR6S1	chr14
RNASE1	chr14
NDRG2	chr14
RNASE13	chr14
ZNF219	chr14
OR5AU1	chr14
LINC00641	chr14
HNRNPC	chr14
SUPT16H	chr14
CHD8	chr14
SNORD9	chr14
SNORD8	chr14
RAB2B	chr14
METTL3	chr14
DQ581770	chr14
SALL2	chr14
OR10G3	chr14
OR10G2	chr14
AK093552	chr14
AK125397	chr14
hDV103S1	chr14
DAD1	chr14
SLC7A7	chr14
RBM23	chr14
PRMT5	chr14
HAUS4	chr14
AJUBA	chr14
MIR4707	chr14
C14orf93	chr14
PSMB5	chr14
CDH24	chr14
ACIN1	chr14
BC153822	chr14
CEBPE	chr14
SLC7A8	chr14
PPP1R3E	chr14
HOMEZ	chr14
SLC22A17	chr14
EFS	chr14
MYH6	chr14
MIR208A	chr14
MYH7	chr14
MIR208B	chr14
ZFHX2	chr14
AP1G2	chr14
JPH4	chr14
BX161431	chr14
DHRS4-AS1	chr14
NRL	chr14
EMC9	chr14
PSME2	chr14
IPO4	chr14
NEDD8-MDP1	chr14
MDP1	chr14
TM9SF1	chr14
CHMP4A	chr14
NEDD8	chr14
TINF2	chr14
TGM1	chr14
RABGGTA	chr14
DHRS1	chr14
CIDEB	chr14
ADCY4	chr14
RIPK3	chr14
CBLN3	chr14
SDR39U1	chr14
CMA1	chr14
CTSG	chr14
GZMH	chr14
GZMB	chr14
STXBP6	chr14
NOVA1	chr14
BC148262	chr14
BC034423	chr14
MIR548AI	chr14
PRKD1	chr14
BC062469	chr14
LOC100506071	chr14
STRN3	chr14
MIR624	chr14
HECTD1	chr14
HEATR5A	chr14
DTD2	chr14
GPR33	chr14
ARHGAP5-AS1	chr14
EGLN3	chr14
SPTSSA	chr14
EAPP	chr14
SNX6	chr14
CFL2	chr14
BAZ1A	chr14
PPP2R3C	chr14
NFKBIA	chr14
RALGAPA1	chr14
PTCSC3	chr14
MBIP	chr14
NKX2-1	chr14
SFTA3	chr14
NKX2-8	chr14
SLC25A21	chr14
MIR4503	chr14
FOXA1	chr14
AK125955	chr14
CLEC14A	chr14
LINC00639	chr14
SEC23A	chr14
TRAPPC6B	chr14
LOC100288846	chr14
FBXO33	chr14
FSCB	chr14
KLHL28	chr14
AX748292	chr14
BC038722	chr14
FKBP3	chr14
MIS18BP1	chr14
RPL10L	chr14
MDGA2	chr14
MIR548Y	chr14
LINC00648	chr14
NEMF	chr14
RPS29	chr14
RPL36AL	chr14
DNAAF2	chr14
POLE2	chr14
AK092589	chr14
LOC100506499	chr14
C14orf182	chr14
BC068095	chr14
C14orf183	chr14
METTL21D	chr14
SOS2	chr14
L2HGDH	chr14
CDKL1	chr14
MAP4K5	chr14
SAV1	chr14
NIN	chr14
PYGL	chr14
TRIM9	chr14
FRMD6-AS2	chr14
FRMD6-AS1	chr14
NID2	chr14
TXNDC16	chr14
ERO1L	chr14
GNPNAT1	chr14
FERMT2	chr14
DDHD1	chr14
MIR5580	chr14
BMP4	chr14
CNIH	chr14
GMFB	chr14
AK096898	chr14
GCH1	chr14
MIR4308	chr14
WDHD1	chr14
DLGAP5	chr14
ATG14	chr14
TBPL2	chr14
KTN1-AS1	chr14
LINC00520	chr14
OTX2	chr14
EXOC5	chr14
C14orf105	chr14
SLC35F4	chr14
C14orf37	chr14
FLJ31306	chr14
TIMM9	chr14
GPR135	chr14
L3HYPDH	chr14
CCDC175	chr14
RTN1	chr14
DHRS7	chr14
BC035195	chr14
C14orf39	chr14
SIX1	chr14
SIX4	chr14
TRMT5	chr14
TMEM30B	chr14
BC050301	chr14
BX648502	chr14
HIF1A-AS2	chr14
KCNH5	chr14
GPHB5	chr14
PPP2R5E	chr14
WDR89	chr14
SGPP1	chr14
ESR2	chr14
TEX21P	chr14
ZBTB25	chr14
SPTB	chr14
GPX2	chr14
RAB15	chr14
MAX	chr14
BX161428	chr14
MIR4708	chr14
FUT8-AS1	chr14
DJ031130	chr14
ATP6V1D	chr14
PLEK2	chr14
AX746582	chr14
TMEM229B	chr14
PIGH	chr14
VTI1B	chr14
RDH11	chr14
ZFYVE26	chr14
ZFP36L1	chr14
ACTN1	chr14
DCAF5	chr14
ERH	chr14
CCDC177	chr14
LOC100289511	chr14
SLC10A1	chr14
SLC8A3	chr14
ADAM21P1	chr14
SYNJ2BP-COX16	chr14
COX16	chr14
SYNJ2BP	chr14
ADAM20P1	chr14
ADAM20	chr14
MED6	chr14
AK093892	chr14
MAP3K9	chr14
AK024141	chr14
DPF3	chr14
ZFYVE1	chr14
BC016143	chr14
BC044305	chr14
NUMB	chr14
AX747833	chr14
HEATR4	chr14
PNMA1	chr14
ELMSAN1	chr14
BC038204	chr14
FAM161B	chr14
ENTPD5	chr14
ALDH6A1	chr14
ABCD4	chr14
SYNDIG1L	chr14
NPC2	chr14
MIR4709	chr14
LTBP2	chr14
AREL1	chr14
PROX2	chr14
RPS6KL1	chr14
PGF	chr14
MLH3	chr14
ACYP1	chr14
NEK9	chr14
TMED10	chr14
C14orf1	chr14
TGFB3	chr14
RNU6-31P	chr14
ANGEL1	chr14
AK125727	chr14
IRF2BPL	chr14
BC038792	chr14
AK124327	chr14
ZDHHC22	chr14
NGB	chr14
POMT2	chr14
TMED8	chr14
NOXRED1	chr14
VIPAS39	chr14
ISM2	chr14
SPTLC2	chr14
ALKBH1	chr14
SNW1	chr14
BX248745	chr14
DIO2	chr14
CEP128	chr14
GTF2A1	chr14
SNORA79	chr14
STON2	chr14
SEL1L	chr14
BC029835	chr14
BX248253	chr14
GALC	chr14
DQ584943	chr14
DQ577706	chr14
DQ580323	chr14
DQ599251	chr14
DQ580013	chr14
DQ577171	chr14
DQ576585	chr14
DQ597500	chr14
DQ577854	chr14
DQ587872	chr14
DQ577137	chr14
DQ597272	chr14
DQ594032	chr14
DQ594666	chr14
DQ574255	chr14
DQ575342	chr14
DQ578127	chr14
DQ574961	chr14
DQ576104	chr14
DQ577052	chr14
DQ592332	chr14
DQ596214	chr14
DQ578350	chr14
DQ601219	chr14
DQ591177	chr14
DQ584348	chr14
DQ573937	chr14
DQ583414	chr14
DQ598830	chr14
DQ572059	chr14
DQ583616	chr14
DQ582474	chr14
DQ579186	chr14
DQ594380	chr14
DQ596147	chr14
KCNK10	chr14
AX747031	chr14
PTPN21	chr14
EML5	chr14
FOXN3	chr14
AK098481	chr14
EFCAB11	chr14
BX247991	chr14
NRDE2	chr14
TTC7B	chr14
RPS6KA5	chr14
GPR68	chr14
CCDC88C	chr14
SMEK1	chr14
pp8961	chr14
CATSPERB	chr14
TC2N	chr14
FBLN5	chr14
TRIP11	chr14
BC039675	chr14
AX721199	chr14
ATXN3	chr14
NDUFB1	chr14
AX747894	chr14
LGMN	chr14
ITPK1	chr14
MOAP1	chr14
C14orf142	chr14
BTBD7	chr14
PRIMA1	chr14
FAM181A-AS1	chr14
ASB2	chr14
DDX24	chr14
IFI27L2	chr14
SERPINA10	chr14
SERPINA6	chr14
SERPINA1	chr14
SERPINA11	chr14
SERPINA9	chr14
SERPINA12	chr14
GSC	chr14
DICER1	chr14
MIR3173	chr14
CLMN	chr14
LINC00341	chr14
SYNE3	chr14
SNHG10	chr14
TCL1A	chr14
ATG2B	chr14
LOC100129345	chr14
C14orf64	chr14
BCL11B	chr14
SETD3	chr14
CCDC85C	chr14
DEGS2	chr14
SLC25A29	chr14
WARS	chr14
BEGAIN	chr14
RTL1	chr14
JA715142	chr14
MIR1247	chr14
DIO3AS	chr14
DIO3OS	chr14
HSP90AA1	chr14
MOK	chr14
CINP	chr14
ANKRD9	chr14
CDC42BPB	chr14
LINC00605	chr14
BC042372	chr14
CKB	chr14
BAG5	chr14
AX746968	chr14
XRCC3	chr14
JA611241	chr14
PPP1R13B	chr14
C14orf2	chr14
RD3L	chr14
MIR3545	chr14
AX746996	chr14
TMEM179	chr14
MIR4710	chr14
AKT1	chr14
AHNAK2	chr14
CDCA4	chr14
GPR132	chr14
JAG2	chr14
NUDT14	chr14
BRF1	chr14
IGHD	chr14
FLJ00382	chr14
IGH@	chr14
DKFZp686O16217	chr14
IGHG1	chr14
IGHE	chr14
IGHCgamma1	chr14
immunoglobulin epsilon chain constant...	chr14
epsilon IgE	chr14
AY748447	chr14
ELK2AP	chr14
Ig alpha 1-[alpha]2m	chr14
FLJ00385	chr14
AK128652	chr14
ADAM6	chr14
BC042994	chr14
Z49973	chr14
BC011773	chr14
immunoglobulin heavy chain	chr14
LOC90925	chr14
BC107108	chr15
CHEK2P2	chr15
HERC2P7	chr15
DQ582073	chr15
DQ594309	chr15
DQ595648	chr15
GOLGA8CP	chr15
JB175342	chr15
CT60	chr15
DQ582260	chr15
DQ590589	chr15
DQ786202	chr15
LOC727924	chr15
OR4M2	chr15
OR4N4	chr15
OR4N3P	chr15
REREP3	chr15
DQ582448	chr15
DQ588687	chr15
DQ582939	chr15
DQ599733	chr15
GOLGA6L1	chr15
TUBGCP5	chr15
CYFIP1	chr15
GOLGA8I	chr15
GOLGA8EP	chr15
GOLGA8S	chr15
MKRN3	chr15
PWRN1	chr15
NPAP1	chr15
SNRPN	chr15
SNURF	chr15
IPW	chr15
SNORD116-19	chr15
PAR4	chr15
SNORD116-22	chr15
PAR-SN	chr15
SNORD116-28	chr15
SNORD115-26	chr15
SNORD115-13	chr15
SNORD115-7	chr15
SNORD116-4	chr15
SNORD116-13	chr15
SNORD116-2	chr15
SNORD116-18	chr15
SNURF-SNRPN	chr15
PAR5	chr15
HBT8	chr15
SNORD109B	chr15
SNORD116-1	chr15
SNORD116-3	chr15
SNORD116-5	chr15
SNORD116-8	chr15
SNORD116-10	chr15
SNORD116-11	chr15
SNORD116-12	chr15
SNORD116-15	chr15
SNORD116-16	chr15
SNORD116-20	chr15
SNORD116-23	chr15
SNORD116-24	chr15
SNORD116-25	chr15
SNORD116-26	chr15
SNORD116-29	chr15
PAR1	chr15
SNORD115-1	chr15
SNORD115-2	chr15
SNORD115-3	chr15
SNORD115-4	chr15
SNORD115-5	chr15
SNORD115-6	chr15
SNORD115-8	chr15
SNORD115-9	chr15
SNORD115-10	chr15
SNORD115-11	chr15
SNORD115-14	chr15
SNORD115-16	chr15
SNORD115-17	chr15
SNORD115-15	chr15
SNORD115-22	chr15
SNORD115-24	chr15
SNORD115-25	chr15
SNORD115-27	chr15
SNORD115-28	chr15
SNORD115-30	chr15
SNORD115-31	chr15
SNORD115-32	chr15
SNORD115-33	chr15
SNORD115-35	chr15
SNORD115-37	chr15
SNORD115-38	chr15
SNORD115-39	chr15
SNORD115-40	chr15
SNORD115-41	chr15
SNORD115-44	chr15
SNORD115-45	chr15
SNORD115-47	chr15
SNORD115-48	chr15
LOC100128714	chr15
LINC00929	chr15
GABRA5	chr15
AK124673	chr15
GABRG3	chr15
GOLGA8G	chr15
GOLGA8F	chr15
MIR4509-1	chr15
DQ578700	chr15
LOC283767	chr15
AK311660	chr15
AK307870	chr15
AK309255	chr15
DQ593342	chr15
HERC2P9	chr15
DQ593032	chr15
DQ597560	chr15
WHAMMP2	chr15
LOC100289656	chr15
LOC646278	chr15
APBA2	chr15
BC043570	chr15
AK310526	chr15
DQ596686	chr15
DQ575741	chr15
ULK4P3	chr15
GOLGA8T	chr15
DKFZP434L187	chr15
DQ587888	chr15
DQ594669	chr15
DQ596319	chr15
DQ585847	chr15
DQ589803	chr15
DQ593983	chr15
DQ583847	chr15
DQ599785	chr15
DQ575242	chr15
DQ586415	chr15
FLJ00278	chr15
DQ582641	chr15
ULK4P1	chr15
LOC100288637	chr15
ARHGAP11B	chr15
AK310030	chr15
HERC2P10	chr15
FAN1	chr15
TRPM1	chr15
KLF13	chr15
AK093758	chr15
CHRNA7	chr15
DQ786280	chr15
DQ585295	chr15
DQ590394	chr15
LOC100996255	chr15
AK310041	chr15
LOC643699	chr15
ARHGAP11A	chr15
SCG5	chr15
C15orf45	chr15
GREM1	chr15
RYR3	chr15
CHRM5	chr15
PGBD4	chr15
EMC4	chr15
NUTM1	chr15
DQ570464	chr15
AK092087	chr15
BC069776	chr15
ANP32AP1	chr15
DPH6-AS1	chr15
MIR4510	chr15
C15orf41	chr15
TMCO5A	chr15
BC039545	chr15
SPRED1	chr15
FAM98B	chr15
C15orf53	chr15
C15orf54	chr15
THBS1	chr15
EIF2AK4	chr15
SRP14-AS1	chr15
PAK6	chr15
BUB1B	chr15
AL832909	chr15
PHGR1	chr15
DISP2	chr15
KNSTRN	chr15
IVD	chr15
BAHD1	chr15
CHST14	chr15
RPUSD2	chr15
CASC5	chr15
RAD51	chr15
GCHFR	chr15
C15orf62	chr15
ZFYVE19	chr15
SPINT1	chr15
VPS18	chr15
BC031952	chr15
DLL4	chr15
CHAC1	chr15
CHP1	chr15
OIP5-AS1	chr15
BC067230	chr15
NUSAP1	chr15
RTF1	chr15
ITPKA	chr15
TYRO3	chr15
MGA	chr15
MIR626	chr15
MAPKBP1	chr15
BC045779	chr15
JMJD7-PLA2G4B	chr15
PLA2G4B	chr15
JMJD7	chr15
CAPN3	chr15
GANC	chr15
SNAP23	chr15
HAUS2	chr15
STARD9	chr15
BC037861	chr15
CCNDBP1	chr15
TMEM62	chr15
ADAL	chr15
TUBGCP4	chr15
MAP1A	chr15
CKMT1B	chr15
RNU6-28P	chr15
CKMT1A	chr15
PDIA3	chr15
SERF2-C15ORF63	chr15
SERF2	chr15
HYPK	chr15
BC062349	chr15
WDR76	chr15
CASC4	chr15
CTDSPL2	chr15
EIF3J	chr15
B2M	chr15
TRIM69	chr15
C15orf43	chr15
SORD	chr15
DUOXA2	chr15
DUOX1	chr15
SLC28A2	chr15
GATM-AS1	chr15
SPATA5L1	chr15
C15orf48	chr15
MIR147B	chr15
AK056686	chr15
HMGN2P46	chr15
BLOC1S6	chr15
SQRDL	chr15
SEMA6D	chr15
SLC24A5	chr15
SLC12A1	chr15
CTXN2	chr15
DUT	chr15
EID1	chr15
GALK2	chr15
NDUFAF4P1	chr15
FGF7	chr15
DTWD1	chr15
SLC27A2	chr15
GABPB1-AS1	chr15
BX537481	chr15
MIR4712	chr15
USP8	chr15
AP4E1	chr15
DCAF13P3	chr15
MIR4713	chr15
GLDN	chr15
SCG3	chr15
TMOD2	chr15
TMOD3	chr15
AF188711	chr15
MAPK6	chr15
LOC100129973	chr15
UNC13C	chr15
PIGB	chr15
FLJ27352	chr15
TEX9	chr15
TCF12	chr15
LINC00926	chr15
CGNL1	chr15
AL110171	chr15
BC015433	chr15
GCOM1	chr15
MYZAP	chr15
POLR2M	chr15
AQP9	chr15
LIPC	chr15
BC034927	chr15
FAM63B	chr15
unknown	chr15
RNF111	chr15
CCNB2	chr15
LDHAL6B	chr15
FAM81A	chr15
GCNT3	chr15
FOXB1	chr15
DJ439579	chr15
DJ439566	chr15
DJ439574	chr15
DJ439529	chr15
DJ439575	chr15
DJ439531	chr15
BC035094	chr15
BC033962	chr15
BC028842	chr15
C2CD4A	chr15
DQ582356	chr15
DQ571395	chr15
DQ587974	chr15
DQ579199	chr15
DQ584023	chr15
DQ573710	chr15
DQ598244	chr15
DQ579765	chr15
DQ587000	chr15
DQ600178	chr15
DQ586290	chr15
